entity_id,entity_type,district,weather,temperature,timestamp,peak_hour,energy_consumed_kwh,energy_generated_kwh,grid_usage_kwh,energy_price,carbon_emission_kg,anomaly
20,House,District-E,Rainy,16,2026-05-29 17:55:41,Yes,18.48,3.94,14.54,0.35,6.54,No
21,Office,District-A,Cloudy,40,2026-05-22 09:55:41,Yes,243.72,32.12,211.6,0.38,95.22,No
22,Factory,District-A,Windy,41,2026-05-08 10:55:41,Yes,2358.55,524.7,1833.85,0.19,825.23,No
23,Apartment,District-D,Windy,15,2026-06-02 20:55:41,Yes,72.76,23.75,49.01,0.2,22.05,No
24,Factory,District-D,Sunny,37,2026-05-07 18:55:41,Yes,2501.8,1134.29,1367.51,0.28,615.38,Yes
25,House,District-E,Windy,43,2026-05-28 09:55:41,Yes,10.46,1.37,9.09,0.15,4.09,No
26,SolarFarm,District-D,Rainy,18,2026-05-30 06:55:41,No,116.33,2458.47,0,0.27,0.0,No
27,Hospital,District-B,Cloudy,39,2026-05-26 19:55:41,Yes,844.56,502.35,342.21,0.36,153.99,No
28,Hospital,District-D,Cloudy,43,2026-06-06 05:55:41,No,309.66,78.1,231.56,0.3,104.2,No
29,House,District-E,Rainy,26,2026-05-16 22:55:41,Yes,25.3,0.7,24.6,0.36,11.07,No
30,Factory,District-A,Cloudy,16,2026-05-15 01:55:41,No,2736.52,926.39,1810.13,0.32,814.56,No
31,Hospital,District-A,Cloudy,34,2026-05-28 09:55:41,Yes,1116.76,292.97,823.79,0.28,370.71,No
32,SolarFarm,District-E,Rainy,43,2026-05-21 17:55:41,Yes,431.28,1437.09,0,0.16,0.0,No
33,School,District-A,Rainy,27,2026-05-15 16:55:41,No,199.08,96.97,102.11,0.35,45.95,No
34,School,District-A,Cloudy,44,2026-05-27 23:55:41,No,188.83,76.22,112.61,0.19,50.67,No
35,SolarFarm,District-A,Rainy,20,2026-05-27 05:55:41,No,386.61,2761.16,0,0.24,0.0,No
36,School,District-B,Sunny,32,2026-05-26 09:55:41,Yes,256.95,64.31,192.64,0.38,86.69,No
37,Hospital,District-D,Cloudy,15,2026-06-02 02:55:41,No,788.4,34.15,754.25,0.23,339.41,No
38,House,District-B,Cloudy,36,2026-05-09 19:55:41,Yes,41.08,13.06,28.02,0.33,12.61,No
39,University,District-E,Sunny,22,2026-05-28 11:55:41,No,434.23,249.65,184.58,0.31,83.06,No
40,SolarFarm,District-D,Windy,26,2026-05-20 11:55:41,No,382.11,1691.66,0,0.17,0.0,No
41,Apartment,District-E,Cloudy,35,2026-05-30 02:55:41,No,70.72,35.44,35.28,0.22,15.88,No
42,University,District-A,Windy,18,2026-05-29 17:55:41,Yes,325.96,88.98,236.98,0.34,106.64,No
43,Factory,District-D,Sunny,43,2026-05-13 23:55:41,No,2846.53,815.88,2030.65,0.21,913.79,No
44,School,District-B,Sunny,15,2026-05-13 12:55:41,No,297.9,66.33,231.57,0.2,104.21,No
45,School,District-D,Sunny,33,2026-05-13 22:55:41,Yes,134.24,29.6,104.64,0.34,47.09,No
46,Office,District-A,Windy,37,2026-05-16 16:55:41,No,199.96,113.31,86.65,0.35,38.99,No
47,House,District-B,Cloudy,45,2026-05-11 21:55:41,Yes,37.21,0.59,36.62,0.34,16.48,No
48,House,District-C,Cloudy,37,2026-05-19 19:55:41,Yes,38.6,12.96,25.64,0.22,11.54,No
49,Office,District-A,Cloudy,15,2026-06-01 12:55:41,No,315.32,66.41,248.91,0.33,112.01,No
50,House,District-E,Cloudy,24,2026-05-21 18:55:41,Yes,7.72,1.29,6.43,0.28,2.89,No
51,Apartment,District-B,Windy,27,2026-05-18 06:55:41,No,39.64,18.06,21.58,0.39,9.71,No
52,Apartment,District-C,Sunny,43,2026-05-18 09:55:41,Yes,50.96,14.79,36.17,0.28,16.28,No
53,School,District-D,Rainy,37,2026-05-27 21:55:41,Yes,233.93,66.84,167.09,0.21,75.19,No
54,School,District-B,Sunny,38,2026-06-03 21:55:41,Yes,319.84,43.76,276.08,0.32,124.24,No
55,SolarFarm,District-E,Sunny,32,2026-05-09 20:55:41,Yes,427.67,7755.71,0,0.35,0.0,No
56,Factory,District-C,Cloudy,42,2026-06-01 08:55:41,Yes,3647.43,1220.8,2426.63,0.2,1091.98,No
57,SolarFarm,District-A,Cloudy,16,2026-05-29 02:55:41,No,197.58,2621.44,0,0.33,0.0,No
58,Apartment,District-A,Rainy,44,2026-06-03 20:55:41,Yes,80.95,30.64,50.31,0.19,22.64,Yes
59,Apartment,District-D,Windy,38,2026-05-16 20:55:41,Yes,40.25,10.41,29.84,0.2,13.43,No
60,Apartment,District-D,Cloudy,27,2026-05-29 13:55:41,No,44.58,25.81,18.77,0.21,8.45,No
61,University,District-B,Sunny,23,2026-05-29 05:55:41,No,316.66,82.99,233.67,0.3,105.15,Yes
62,Factory,District-D,Windy,25,2026-05-28 15:55:41,No,556.42,235.94,320.48,0.36,144.22,No
63,University,District-C,Rainy,25,2026-05-16 16:55:41,No,515.94,145.22,370.72,0.37,166.82,No
64,University,District-B,Rainy,21,2026-05-23 10:55:41,Yes,451.1,241.8,209.3,0.34,94.19,No
65,Hospital,District-C,Rainy,33,2026-05-16 12:55:41,No,885.96,446.6,439.36,0.32,197.71,No
66,Hospital,District-D,Sunny,28,2026-05-20 05:55:41,No,736.71,372.83,363.88,0.2,163.75,No
67,Office,District-B,Windy,44,2026-05-15 14:55:41,No,243.29,133.15,110.14,0.35,49.56,Yes
68,SolarFarm,District-C,Sunny,43,2026-05-10 06:55:41,No,236.05,8913.51,0,0.19,0.0,No
69,Apartment,District-B,Sunny,16,2026-05-31 07:55:41,Yes,61.81,19.37,42.44,0.22,19.1,No
70,University,District-D,Windy,37,2026-06-03 05:55:41,No,428.95,214.07,214.88,0.4,96.7,No
71,Factory,District-E,Sunny,42,2026-05-12 18:55:41,Yes,2846.4,1384.26,1462.14,0.33,657.96,No
72,Hospital,District-E,Rainy,42,2026-05-27 23:55:41,No,592.11,196.79,395.32,0.37,177.89,No
73,SolarFarm,District-B,Windy,41,2026-05-17 00:55:41,No,215.09,2571.68,0,0.33,0.0,No
74,Hospital,District-E,Windy,30,2026-06-03 16:55:41,No,974.23,327.93,646.3,0.35,290.83,No
75,University,District-C,Sunny,15,2026-05-31 23:55:41,No,453.85,178.37,275.48,0.38,123.97,No
76,SolarFarm,District-C,Windy,38,2026-05-09 16:55:41,No,445.67,2626.98,0,0.39,0.0,No
77,Hospital,District-D,Sunny,16,2026-06-04 06:55:41,No,370.0,88.87,281.13,0.22,126.51,No
78,SolarFarm,District-E,Cloudy,18,2026-05-10 23:55:41,No,289.86,4685.37,0,0.3,0.0,No
79,Apartment,District-B,Cloudy,31,2026-05-18 07:55:41,Yes,28.29,14.78,13.51,0.37,6.08,No
80,University,District-A,Windy,26,2026-06-01 02:55:41,No,257.03,87.69,169.34,0.28,76.2,No
81,House,District-B,Rainy,25,2026-05-08 14:55:41,No,27.25,1.04,26.21,0.33,11.79,No
82,School,District-C,Cloudy,23,2026-05-12 00:55:41,No,215.32,11.38,203.94,0.31,91.77,No
83,SolarFarm,District-A,Rainy,23,2026-05-24 19:55:41,Yes,503.02,1475.62,0,0.2,0.0,No
84,Hospital,District-E,Rainy,31,2026-05-14 14:55:41,No,954.18,74.13,880.05,0.33,396.02,No
85,House,District-D,Windy,20,2026-05-30 21:55:41,Yes,49.49,24.35,25.14,0.38,11.31,No
86,House,District-B,Windy,17,2026-05-13 00:55:41,No,9.0,3.39,5.61,0.31,2.52,No
87,Apartment,District-C,Windy,40,2026-05-13 23:55:41,No,76.62,37.22,39.4,0.32,17.73,No
88,Hospital,District-D,Sunny,17,2026-06-01 06:55:41,No,462.74,169.6,293.14,0.27,131.91,No
89,University,District-C,Rainy,18,2026-06-02 03:55:41,No,360.32,68.93,291.39,0.17,131.13,No
90,Apartment,District-C,Sunny,31,2026-05-27 09:55:41,Yes,35.21,9.49,25.72,0.17,11.57,No
91,SolarFarm,District-A,Windy,24,2026-06-01 02:55:41,No,310.87,5712.0,0,0.2,0.0,No
92,House,District-B,Cloudy,42,2026-06-02 16:55:41,No,9.9,4.1,5.8,0.35,2.61,No
93,University,District-E,Windy,31,2026-05-15 19:55:41,Yes,383.44,135.81,247.63,0.23,111.43,No
94,School,District-E,Rainy,27,2026-05-17 14:55:41,No,165.58,88.35,77.23,0.24,34.75,No
95,School,District-A,Rainy,35,2026-05-13 01:55:41,No,273.48,116.88,156.6,0.19,70.47,No
96,School,District-B,Cloudy,23,2026-05-10 12:55:41,No,237.52,68.81,168.71,0.24,75.92,No
97,Hospital,District-B,Sunny,26,2026-05-14 06:55:41,No,755.67,372.86,382.81,0.33,172.26,No
98,Factory,District-B,Rainy,25,2026-05-15 02:55:41,No,1665.44,756.19,909.25,0.32,409.16,No
99,University,District-B,Sunny,30,2026-05-10 16:55:41,No,376.19,106.16,270.03,0.36,121.51,No
100,Hospital,District-D,Windy,45,2026-05-22 23:55:41,No,808.43,119.46,688.97,0.4,310.04,No
101,School,District-D,Windy,39,2026-05-27 18:55:41,Yes,234.83,14.7,220.13,0.3,99.06,No
102,University,District-D,Rainy,27,2026-05-09 08:55:41,Yes,320.76,135.52,185.24,0.37,83.36,No
103,Factory,District-E,Cloudy,34,2026-06-05 21:55:41,Yes,1949.11,1006.43,942.68,0.35,424.21,No
104,House,District-B,Windy,44,2026-05-31 21:55:41,Yes,39.24,8.94,30.3,0.34,13.63,No
105,Office,District-D,Rainy,33,2026-05-19 01:55:41,No,206.32,60.01,146.31,0.29,65.84,No
106,University,District-C,Windy,37,2026-06-03 04:55:41,No,497.55,16.64,480.91,0.33,216.41,No
107,SolarFarm,District-B,Rainy,18,2026-05-15 00:55:41,No,396.84,1497.92,0,0.25,0.0,No
108,Apartment,District-C,Windy,35,2026-06-04 15:55:41,No,24.63,12.61,12.02,0.24,5.41,No
109,House,District-D,Windy,31,2026-06-02 03:55:41,No,36.0,12.59,23.41,0.28,10.53,No
110,Office,District-A,Sunny,43,2026-05-13 04:55:41,No,245.91,105.35,140.56,0.39,63.25,No
111,Factory,District-C,Sunny,38,2026-06-03 00:55:41,No,2726.77,99.16,2627.61,0.36,1182.42,No
112,Office,District-C,Windy,17,2026-05-20 00:55:41,No,379.05,5.79,373.26,0.33,167.97,No
113,Apartment,District-C,Rainy,39,2026-05-23 18:55:41,Yes,62.3,6.61,55.69,0.37,25.06,No
114,House,District-D,Rainy,26,2026-05-29 14:55:41,No,6.39,3.28,3.11,0.36,1.4,Yes
115,University,District-B,Sunny,15,2026-05-10 06:55:41,No,236.17,122.04,114.13,0.33,51.36,No
116,Hospital,District-B,Windy,30,2026-05-13 01:55:41,No,570.57,228.2,342.37,0.16,154.07,No
117,Factory,District-B,Cloudy,32,2026-05-17 22:55:41,Yes,2052.81,1090.27,962.54,0.31,433.14,No
118,Hospital,District-E,Cloudy,28,2026-05-15 22:55:41,Yes,791.05,332.51,458.54,0.29,206.34,No
119,School,District-D,Cloudy,32,2026-05-07 13:55:41,No,297.98,44.11,253.87,0.28,114.24,No
120,School,District-A,Cloudy,35,2026-05-15 10:55:41,Yes,162.79,41.36,121.43,0.27,54.64,No
121,Factory,District-D,Rainy,26,2026-05-27 07:55:41,Yes,2036.66,970.51,1066.15,0.38,479.77,No
122,House,District-D,Sunny,22,2026-05-25 01:55:41,No,29.9,10.97,18.93,0.28,8.52,No
123,House,District-C,Windy,28,2026-05-19 09:55:41,Yes,34.26,10.63,23.63,0.35,10.63,Yes
124,University,District-C,Cloudy,44,2026-05-10 03:55:41,No,364.92,106.68,258.24,0.38,116.21,No
125,Hospital,District-B,Rainy,30,2026-05-20 22:55:41,Yes,742.86,343.9,398.96,0.32,179.53,No
126,Office,District-E,Sunny,35,2026-05-28 14:55:41,No,324.0,55.87,268.13,0.16,120.66,No
127,Hospital,District-B,Windy,40,2026-06-05 18:55:41,Yes,508.96,290.27,218.69,0.38,98.41,No
128,Apartment,District-B,Sunny,27,2026-05-29 01:55:41,No,58.12,16.52,41.6,0.33,18.72,No
129,University,District-A,Rainy,22,2026-05-12 07:55:41,Yes,396.7,52.72,343.98,0.16,154.79,No
130,School,District-D,Rainy,30,2026-05-10 05:55:41,No,143.31,65.92,77.39,0.2,34.83,Yes
131,Office,District-C,Rainy,31,2026-05-26 01:55:41,No,307.01,110.4,196.61,0.33,88.47,No
132,University,District-E,Sunny,21,2026-05-16 17:55:41,Yes,252.09,92.76,159.33,0.29,71.7,No
133,Office,District-E,Windy,40,2026-05-15 21:55:41,Yes,281.5,103.45,178.05,0.31,80.12,No
134,Factory,District-C,Rainy,29,2026-06-01 17:55:41,Yes,1594.51,265.14,1329.37,0.31,598.22,No
135,School,District-D,Windy,15,2026-05-17 07:55:41,Yes,273.91,44.97,228.94,0.36,103.02,No
136,SolarFarm,District-E,Windy,34,2026-06-01 21:55:41,Yes,603.12,1759.26,0,0.16,0.0,No
137,School,District-A,Rainy,27,2026-05-25 18:55:41,Yes,161.69,0.64,161.05,0.34,72.47,No
138,Factory,District-D,Windy,28,2026-05-17 07:55:41,Yes,2765.99,96.1,2669.89,0.16,1201.45,No
139,Hospital,District-C,Windy,34,2026-06-01 17:55:41,Yes,1000.73,163.19,837.54,0.29,376.89,No
140,House,District-D,Cloudy,23,2026-05-25 00:55:41,No,22.98,4.66,18.32,0.17,8.24,No
141,Hospital,District-E,Sunny,29,2026-05-13 17:55:41,Yes,1238.56,262.26,976.3,0.38,439.33,No
142,Office,District-C,Windy,36,2026-05-16 15:55:41,No,233.51,51.74,181.77,0.31,81.8,No
143,University,District-C,Rainy,24,2026-05-12 14:55:41,No,538.12,288.58,249.54,0.18,112.29,No
144,School,District-E,Sunny,38,2026-05-28 00:55:41,No,201.65,6.44,195.21,0.3,87.84,No
145,School,District-C,Sunny,37,2026-05-23 22:55:41,Yes,203.86,66.64,137.22,0.34,61.75,No
146,Apartment,District-B,Rainy,33,2026-05-18 19:55:41,Yes,37.06,7.9,29.16,0.21,13.12,No
147,Apartment,District-A,Windy,30,2026-06-06 01:55:41,No,68.96,11.84,57.12,0.35,25.7,No
148,Office,District-C,Sunny,38,2026-05-09 15:55:41,No,228.74,84.57,144.17,0.38,64.88,No
149,School,District-C,Windy,27,2026-06-05 00:55:41,No,236.94,35.26,201.68,0.3,90.76,No
150,Apartment,District-E,Cloudy,18,2026-05-25 19:55:41,Yes,98.62,18.01,80.61,0.32,36.27,No
151,SolarFarm,District-D,Windy,34,2026-05-23 21:55:41,Yes,183.05,5420.27,0,0.25,0.0,No
152,House,District-A,Rainy,15,2026-05-22 02:55:41,No,32.32,14.72,17.6,0.32,7.92,No
153,University,District-C,Sunny,17,2026-05-27 18:55:41,Yes,589.69,24.7,564.99,0.19,254.25,No
154,Apartment,District-D,Cloudy,33,2026-05-18 09:55:41,Yes,33.41,18.81,14.6,0.24,6.57,No
155,House,District-B,Sunny,25,2026-05-07 12:55:41,No,11.52,2.66,8.86,0.39,3.99,No
156,Office,District-C,Rainy,41,2026-05-17 04:55:41,No,263.76,33.56,230.2,0.35,103.59,No
157,University,District-E,Sunny,37,2026-05-22 16:55:41,No,200.5,62.88,137.62,0.32,61.93,No
158,Apartment,District-D,Cloudy,41,2026-05-11 22:55:41,Yes,78.74,33.53,45.21,0.39,20.34,No
159,University,District-C,Rainy,37,2026-05-28 06:55:41,No,402.28,223.13,179.15,0.19,80.62,No
160,SolarFarm,District-D,Cloudy,20,2026-05-09 11:55:41,No,354.78,3639.73,0,0.16,0.0,No
161,Office,District-B,Cloudy,27,2026-05-31 11:55:41,No,296.29,147.47,148.82,0.22,66.97,No
162,Factory,District-E,Rainy,17,2026-05-10 00:55:41,No,1946.59,974.51,972.08,0.26,437.44,No
163,Office,District-A,Rainy,29,2026-05-21 06:55:41,No,206.13,18.56,187.57,0.38,84.41,No
164,School,District-A,Rainy,31,2026-05-23 15:55:41,No,171.36,76.69,94.67,0.22,42.6,No
165,SolarFarm,District-B,Windy,27,2026-05-28 15:55:41,No,115.36,4335.94,0,0.21,0.0,No
166,Apartment,District-C,Rainy,33,2026-05-17 16:55:41,No,30.22,14.94,15.28,0.35,6.88,No
167,Office,District-E,Cloudy,33,2026-05-20 10:55:41,Yes,463.89,19.44,444.45,0.22,200.0,No
168,House,District-B,Cloudy,41,2026-05-25 07:55:41,Yes,19.57,5.66,13.91,0.24,6.26,No
169,Office,District-C,Rainy,40,2026-05-20 15:55:41,No,387.88,114.81,273.07,0.17,122.88,Yes
170,Factory,District-C,Rainy,19,2026-05-22 19:55:41,Yes,2669.0,189.42,2479.58,0.19,1115.81,No
171,Hospital,District-A,Sunny,27,2026-06-03 04:55:41,No,486.73,139.53,347.2,0.32,156.24,No
172,School,District-D,Rainy,32,2026-05-19 10:55:41,Yes,234.82,83.45,151.37,0.2,68.12,No
173,School,District-E,Sunny,28,2026-06-02 10:55:41,Yes,162.38,80.19,82.19,0.23,36.99,No
174,SolarFarm,District-A,Rainy,31,2026-06-03 12:55:41,No,400.92,1310.05,0,0.26,0.0,No
175,Hospital,District-A,Cloudy,42,2026-05-18 14:55:41,No,777.29,162.61,614.68,0.21,276.61,No
176,School,District-C,Rainy,37,2026-06-01 09:55:41,Yes,221.73,116.01,105.72,0.19,47.57,No
177,Office,District-C,Rainy,22,2026-05-29 07:55:41,Yes,280.42,101.33,179.09,0.37,80.59,No
178,SolarFarm,District-D,Cloudy,33,2026-05-10 18:55:41,Yes,351.78,1045.54,0,0.24,0.0,No
179,SolarFarm,District-B,Sunny,26,2026-05-19 03:55:41,No,241.67,5685.02,0,0.21,0.0,No
180,House,District-A,Windy,22,2026-05-12 08:55:41,Yes,49.8,6.71,43.09,0.35,19.39,No
181,SolarFarm,District-D,Sunny,20,2026-05-09 18:55:41,Yes,289.68,9954.73,0,0.23,0.0,No
182,Apartment,District-E,Windy,20,2026-05-27 06:55:41,No,38.79,11.72,27.07,0.15,12.18,No
183,Hospital,District-B,Rainy,33,2026-06-04 11:55:41,No,808.16,173.06,635.1,0.37,285.8,Yes
184,House,District-B,Rainy,43,2026-05-15 14:55:41,No,43.21,9.71,33.5,0.28,15.08,No
185,School,District-D,Windy,20,2026-05-23 00:55:41,No,287.06,56.95,230.11,0.27,103.55,No
186,Apartment,District-C,Rainy,25,2026-06-04 05:55:41,No,87.58,15.45,72.13,0.37,32.46,No
187,School,District-E,Windy,23,2026-05-28 14:55:41,No,227.2,113.53,113.67,0.36,51.15,No
188,Office,District-E,Windy,25,2026-06-05 04:55:41,No,317.48,40.71,276.77,0.39,124.55,No
189,School,District-D,Cloudy,25,2026-05-28 03:55:41,No,192.16,14.42,177.74,0.24,79.98,No
190,SolarFarm,District-B,Cloudy,30,2026-05-18 06:55:41,No,166.09,2758.64,0,0.28,0.0,No
191,Office,District-D,Rainy,20,2026-05-10 19:55:41,Yes,154.78,91.54,63.24,0.17,28.46,No
192,University,District-C,Cloudy,37,2026-05-26 10:55:41,Yes,432.04,188.66,243.38,0.27,109.52,No
193,SolarFarm,District-C,Rainy,16,2026-05-07 10:55:41,Yes,345.3,1185.57,0,0.32,0.0,No
194,Hospital,District-A,Windy,25,2026-05-17 05:55:41,No,490.62,184.9,305.72,0.16,137.57,No
195,Apartment,District-D,Sunny,19,2026-05-21 00:55:41,No,57.84,7.82,50.02,0.19,22.51,No
196,Hospital,District-D,Windy,33,2026-05-28 05:55:41,No,996.33,218.35,777.98,0.16,350.09,No
197,Hospital,District-D,Rainy,38,2026-05-26 16:55:41,No,466.68,228.4,238.28,0.33,107.23,No
198,Apartment,District-C,Cloudy,30,2026-06-02 22:55:41,Yes,67.61,23.14,44.47,0.22,20.01,No
199,University,District-E,Cloudy,16,2026-05-26 15:55:41,No,278.45,135.03,143.42,0.25,64.54,No
200,SolarFarm,District-D,Sunny,15,2026-05-18 00:55:41,No,237.4,2482.91,0,0.22,0.0,No
201,House,District-D,Cloudy,30,2026-05-17 10:55:41,Yes,21.94,10.88,11.06,0.16,4.98,No
202,Office,District-C,Cloudy,37,2026-05-12 17:55:41,Yes,480.91,112.43,368.48,0.24,165.82,No
203,SolarFarm,District-C,Sunny,15,2026-05-14 02:55:41,No,362.0,7499.29,0,0.38,0.0,No
204,House,District-A,Cloudy,26,2026-05-11 08:55:41,Yes,41.08,21.39,19.69,0.23,8.86,No
205,SolarFarm,District-E,Sunny,19,2026-05-11 14:55:41,No,242.96,8942.11,0,0.37,0.0,No
206,SolarFarm,District-E,Cloudy,22,2026-05-11 09:55:41,Yes,207.09,1832.67,0,0.17,0.0,No
207,University,District-B,Rainy,21,2026-06-05 11:55:41,No,441.36,53.17,388.19,0.28,174.69,No
208,Hospital,District-B,Sunny,22,2026-05-20 23:55:41,No,772.23,166.83,605.4,0.36,272.43,No
209,Hospital,District-A,Windy,18,2026-06-01 20:55:41,Yes,387.73,54.91,332.82,0.19,149.77,No
210,University,District-E,Sunny,27,2026-05-12 06:55:41,No,371.07,103.35,267.72,0.29,120.47,No
211,Apartment,District-A,Sunny,43,2026-05-12 06:55:41,No,27.78,3.58,24.2,0.33,10.89,No
212,University,District-D,Sunny,24,2026-05-14 21:55:41,Yes,385.66,8.49,377.17,0.25,169.73,No
213,SolarFarm,District-A,Sunny,30,2026-05-15 08:55:41,Yes,372.69,6119.18,0,0.29,0.0,No
214,University,District-E,Rainy,35,2026-06-01 18:55:41,Yes,647.17,182.6,464.57,0.29,209.06,No
215,House,District-A,Windy,31,2026-06-02 14:55:41,No,9.01,5.33,3.68,0.24,1.66,No
216,Factory,District-D,Rainy,39,2026-05-09 17:55:41,Yes,1612.79,468.92,1143.87,0.16,514.74,No
217,Office,District-E,Windy,36,2026-05-24 00:55:41,No,387.65,137.38,250.27,0.34,112.62,No
218,Office,District-B,Cloudy,15,2026-06-04 22:55:41,Yes,386.27,221.15,165.12,0.27,74.3,No
219,SolarFarm,District-E,Windy,26,2026-05-07 13:55:41,No,349.53,7772.03,0,0.38,0.0,No
220,University,District-B,Sunny,44,2026-05-08 19:55:41,Yes,416.61,4.25,412.36,0.29,185.56,No
221,School,District-C,Rainy,34,2026-05-31 03:55:41,No,203.82,106.16,97.66,0.2,43.95,No
222,Factory,District-A,Rainy,21,2026-05-18 18:55:41,Yes,1992.33,1120.61,871.72,0.2,392.27,No
223,Apartment,District-A,Rainy,41,2026-05-18 22:55:41,Yes,55.32,21.95,33.37,0.29,15.02,No
224,School,District-B,Windy,39,2026-06-02 14:55:41,No,129.09,51.85,77.24,0.33,34.76,No
225,Office,District-E,Sunny,39,2026-05-27 06:55:41,No,395.04,100.28,294.76,0.3,132.64,No
226,University,District-B,Cloudy,27,2026-05-27 04:55:41,No,370.29,73.37,296.92,0.33,133.61,No
227,Factory,District-E,Sunny,32,2026-05-19 17:55:41,Yes,2229.8,1214.69,1015.11,0.37,456.8,No
228,Hospital,District-C,Sunny,40,2026-05-18 06:55:41,No,909.74,66.3,843.44,0.27,379.55,No
229,House,District-C,Sunny,24,2026-05-29 05:55:41,No,7.04,1.18,5.86,0.2,2.64,No
230,School,District-E,Sunny,40,2026-05-15 19:55:41,Yes,179.66,33.39,146.27,0.18,65.82,No
231,Hospital,District-C,Cloudy,34,2026-05-30 22:55:41,Yes,944.55,131.28,813.27,0.35,365.97,No
232,Hospital,District-A,Cloudy,39,2026-06-04 19:55:41,Yes,868.66,292.18,576.48,0.19,259.42,No
233,SolarFarm,District-B,Windy,30,2026-05-28 18:55:41,Yes,179.88,1119.31,0,0.32,0.0,No
234,Factory,District-B,Rainy,27,2026-05-11 18:55:41,Yes,2590.6,1114.91,1475.69,0.25,664.06,No
235,School,District-E,Rainy,25,2026-06-02 05:55:41,No,134.53,77.37,57.16,0.35,25.72,No
236,Hospital,District-A,Cloudy,37,2026-05-14 03:55:41,No,926.52,242.52,684.0,0.22,307.8,No
237,Office,District-A,Sunny,43,2026-05-28 23:55:41,No,204.07,56.33,147.74,0.2,66.48,No
238,School,District-B,Cloudy,20,2026-05-26 23:55:41,No,121.36,18.27,103.09,0.17,46.39,No
239,University,District-E,Windy,38,2026-06-01 11:55:41,No,421.14,172.69,248.45,0.37,111.8,No
240,University,District-D,Windy,30,2026-05-23 17:55:41,Yes,603.42,98.52,504.9,0.4,227.2,No
241,University,District-A,Sunny,45,2026-06-05 19:55:41,Yes,624.12,163.72,460.4,0.33,207.18,No
242,Office,District-E,Cloudy,38,2026-05-18 05:55:41,No,283.53,167.83,115.7,0.26,52.07,No
243,School,District-C,Rainy,42,2026-05-24 18:55:41,Yes,145.61,9.29,136.32,0.2,61.34,No
244,Factory,District-A,Sunny,40,2026-05-16 22:55:41,Yes,3132.33,1096.0,2036.33,0.32,916.35,No
245,University,District-C,Windy,20,2026-05-09 14:55:41,No,423.67,20.88,402.79,0.22,181.26,No
246,University,District-B,Rainy,38,2026-05-12 17:55:41,Yes,418.95,219.67,199.28,0.27,89.68,No
247,House,District-B,Windy,30,2026-05-26 17:55:41,Yes,14.4,2.64,11.76,0.34,5.29,No
248,SolarFarm,District-B,Windy,39,2026-06-06 02:55:41,No,489.93,2153.67,0,0.4,0.0,No
249,SolarFarm,District-A,Windy,41,2026-05-31 04:55:41,No,279.31,4363.49,0,0.31,0.0,No
250,SolarFarm,District-C,Rainy,43,2026-05-15 14:55:41,No,199.63,1931.33,0,0.29,0.0,No
251,SolarFarm,District-A,Sunny,35,2026-06-04 01:55:41,No,493.53,4160.78,0,0.32,0.0,No
252,House,District-D,Cloudy,30,2026-05-11 02:55:41,No,34.74,11.7,23.04,0.2,10.37,No
